powerplant_type,cap__usd_mw,fom__usd_mwa,vom__usd_mwh,life__years,country,year,source
EIDT,400000.0,18000.0,0.0,30,MX,2045,CopiedFromTemplate_XY
EIDT,400000.0,18000.0,0.0,30,MX,2050,CopiedFromTemplate_XY
ELTZ,650000.0,21000.0,0.0,18,MX,2025,CopiedFromTemplate_XY
ELTZ,350000.0,19000.0,0.0,18,MX,2030,CopiedFromTemplate_XY
ELTZ,300000.0,15000.0,0.0,18,MX,2035,CopiedFromTemplate_XY
ELTZ,250000.0,13000.0,0.0,18,MX,2040,CopiedFromTemplate_XY
ELTZ,230000.0,11000.0,0.0,18,MX,2045,CopiedFromTemplate_XY
ELTZ,200000.0,10000.0,0.0,18,MX,2050,CopiedFromTemplate_XY
EVCH-PRV,10000.0,1.0,1.0,20,MX,2025,CopiedFromTemplate_XY
EVCH-PRV,10000.0,1.0,1.0,20,MX,2030,CopiedFromTemplate_XY
EVCH-PRV,10000.0,1.0,1.0,20,MX,2035,CopiedFromTemplate_XY
EVCH-PRV,10000.0,1.0,1.0,20,MX,2040,CopiedFromTemplate_XY
EVCH-PRV,10000.0,1.0,1.0,20,MX,2045,CopiedFromTemplate_XY
EVCH-PRV,10000.0,1.0,1.0,20,MX,2050,CopiedFromTemplate_XY
EVCH-PUB,10000.0,1.0,1.0,20,MX,2025,CopiedFromTemplate_XY
EVCH-PUB,10000.0,1.0,1.0,20,MX,2030,CopiedFromTemplate_XY
EVCH-PUB,10000.0,1.0,1.0,20,MX,2035,CopiedFromTemplate_XY
EVCH-PUB,10000.0,1.0,1.0,20,MX,2040,CopiedFromTemplate_XY
EVCH-PUB,10000.0,1.0,1.0,20,MX,2045,CopiedFromTemplate_XY
EVCH-PUB,10000.0,1.0,1.0,20,MX,2050,CopiedFromTemplate_XY
EVST_PRV,2000000.0,690.0,0.0,30,MX,2025,CopiedFromTemplate_XY
EVST_PRV,1500000.0,690.0,0.0,30,MX,2030,CopiedFromTemplate_XY
EVST_PRV,1200000.0,690.0,0.0,30,MX,2035,CopiedFromTemplate_XY
EVST_PRV,1100000.0,690.0,0.0,30,MX,2040,CopiedFromTemplate_XY
EVST_PRV,900000.0,690.0,0.0,30,MX,2045,CopiedFromTemplate_XY
EVST_PRV,670000.0,690.0,0.0,30,MX,2050,CopiedFromTemplate_XY
EVST_PUB,1870000.0,690.0,0.0,30,MX,2025,CopiedFromTemplate_XY
EVST_PUB,1530000.0,690.0,0.0,30,MX,2030,CopiedFromTemplate_XY
EVST_PUB,1330000.0,690.0,0.0,30,MX,2035,CopiedFromTemplate_XY
EVST_PUB,1100000.0,690.0,0.0,30,MX,2040,CopiedFromTemplate_XY
EVST_PUB,900000.0,690.0,0.0,30,MX,2045,CopiedFromTemplate_XY
EVST_PUB,678000.0,690.0,0.0,30,MX,2050,CopiedFromTemplate_XY
FITR,1070000.0,32000.0,6.0,100,MX,2025,CopiedFromTemplate_XY
FITR,1070000.0,32000.0,6.0,100,MX,2030,CopiedFromTemplate_XY
