country,bus0,bus1,bus2,bus3,type,link,carrier,p_nom,p_nom_extendable,p_nom_max_2025,p_nom_max_2030,p_nom_max_2035,p_nom_max_2040,p_nom_max_2045,p_nom_max_2050,p_nom_min_2025,p_nom_min_2030,p_nom_min_2035,p_nom_min_2040,p_nom_min_2045,p_nom_min_2050
MX,MX_OILN,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC,MX_ATMP,MX_CO2STORN,OILT,MX_OILN_to_MX_BCS_N50_VILLA_CONSTITUCION_HVELEC_by_OILT,Oil,81.15,False,81.15,81.15,81.15,,,,81.15,81.15,81.15,,,
MX,MX_OILN,MX_BCS_N51_LA_PAZ_HVELEC,MX_ATMP,MX_CO2STORN,OILT,MX_OILN_to_MX_BCS_N51_LA_PAZ_HVELEC_by_OILT,Oil,224.7,False,224.7,224.7,173.7,,,,224.7,224.7,173.7,,,
MX,MX_GASN,MX_BCS_N51_LA_PAZ_HVELEC,MX_ATMP,MX_CO2STORN,OCGT,MX_GASN_to_MX_BCS_N51_LA_PAZ_HVELEC_by_OCGT,Gas,143.5,False,143.5,143.5,143.5,,,,143.5,143.5,143.5,,,
MX,MX_OILN,MX_BCS_N52_LOS_CABOS_HVELEC,MX_ATMP,MX_CO2STORN,OILT,MX_OILN_to_MX_BCS_N52_LOS_CABOS_HVELEC_by_OILT,Oil,221,False,221,221,221,,,,221,221,221,,,
MX,MX_GASN,MX_BCS_N52_LOS_CABOS_HVELEC,MX_ATMP,MX_CO2STORN,OCGT,MX_GASN_to_MX_BCS_N52_LOS_CABOS_HVELEC_by_OCGT,Gas,240,False,240,240,240,,,,240,240,240,,,
MX,MX_OILN,MX_BCS_N53_MULEGE_HVELEC,MX_ATMP,MX_CO2STORN,OILT,MX_OILN_to_MX_BCS_N53_MULEGE_HVELEC_by_OILT,Oil,101,False,101,101,101,,,,101,101,101,,,
