country,node,type,carrier,bus,name,p_nom,p_nom_extendable,p_nom_max_2025,p_nom_max_2030,p_nom_max_2035,p_nom_max_2040,p_nom_max_2045,p_nom_max_2050,p_nom_min_2025,p_nom_min_2030,p_nom_min_2035,p_nom_min_2040,p_nom_min_2045,p_nom_min_2050
MX,MX_BCS_N51_LA_PAZ,BATS,Electricity,MX_BCS_N51_LA_PAZ_HVELEC,MX_BCS_N51_LA_PAZ_HVELEC_BATS,10.5,True,10.5,154.264045,635.376572,635.376572,635.376572,635.376572,10.5,154.264045,635.376572,635.376572,635.376572,635.376572
MX,MX_BCS_N50_VILLA_CONSTITUCION,BATS,Electricity,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC_BATS,5,True,5,128.977468,304.498269,304.498269,304.498269,304.498269,5,128.977468,304.498269,304.498269,304.498269,304.498269
MX,MX_BCS_N52_LOS_CABOS,BATS,Electricity,MX_BCS_N52_LOS_CABOS_HVELEC,MX_BCS_N52_LOS_CABOS_HVELEC_BATS,0,True,0,76.875086,942.724861,942.724861,942.724861,942.724861,0,76.875086,942.724861,942.724861,942.724861,942.724861
MX,MX_BCS_N53_MULEGE,BATS,Electricity,MX_BCS_N53_MULEGE_HVELEC,MX_BCS_N53_MULEGE_HVELEC_BATS,0,True,0,0,1.80118,1.80118,1.80118,1.80118,0,0,1.80118,1.80118,1.80118,1.80118
