country,bus,supply_plant,carrier,max_supply__mwh_year,fuel_cost__usd_mwh,year
MX,MX_COMBSTLN,MX_COMBSTLN,Oil,inf,44.63,2025
MX,MX_GASN,TGEN_GASN,Gas,inf,16.78,2025
MX,MX_OILN,TGEN_OILN,Oil,inf,121.2,2025
MX,MX_COMBSTLN,MX_COMBSTLN,Oil,inf,47.94,2030
MX,MX_GASN,TGEN_GASN,Gas,inf,18.85,2030
MX,MX_OILN,TGEN_OILN,Oil,inf,114.8,2030
MX,MX_COMBSTLN,MX_COMBSTLN,Oil,inf,48.45,2035
MX,MX_GASN,TGEN_GASN,Gas,inf,18.8,2035
MX,MX_OILN,TGEN_OILN,Oil,inf,114.68,2035
