country,node,type,carrier,bus,name,p_nom,p_nom_extendable,p_nom_max_2025,p_nom_max_2030,p_nom_max_2035,p_nom_max_2040,p_nom_max_2045,p_nom_max_2050,p_nom_min_2025,p_nom_min_2030,p_nom_min_2035,p_nom_min_2040,p_nom_min_2045,p_nom_min_2050
MX,MX_BCS_N51_LA_PAZ,BATS,Electricity,MX_BCS_N51_LA_PAZ_HVELEC,MX_BCS_N51_LA_PAZ_HVELEC_BATS,10.5,True,10.5,154.32013899999998,649.817843,649.817843,649.817843,649.817843,10.5,154.32013899999998,649.817843,649.817843,649.817843,649.817843
MX,MX_BCS_N50_VILLA_CONSTITUCION,BATS,Electricity,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC_BATS,5,True,5,126.75682800000001,299.187667,299.187667,299.187667,299.187667,5,126.75682800000001,299.187667,299.187667,299.187667,299.187667
MX,MX_BCS_N52_LOS_CABOS,BATS,Electricity,MX_BCS_N52_LOS_CABOS_HVELEC,MX_BCS_N52_LOS_CABOS_HVELEC_BATS,0,True,0,79.039631,933.594192,933.594192,933.594192,933.594192,0,79.039631,933.594192,933.594192,933.594192,933.594192
MX,MX_BCS_N53_MULEGE,BATS,Electricity,MX_BCS_N53_MULEGE_HVELEC,MX_BCS_N53_MULEGE_HVELEC_BATS,0,True,0,0,1.80118,1.80118,1.80118,1.80118,0,0,1.80118,1.80118,1.80118,1.80118
