country,bus,store,type,carrier,standing_loss,e_nom_extendable,e_nom,max_store_2025,max_store_2030,max_store_2035,max_store_2040,max_store_2045,max_store_2050
MX,MX_BCS_N51_LA_PAZ_BATSN,MX_BCS_N51_LA_PAZ_BATSN_STOR,BATS,Electricity,0,False,42.0,42.0,617.2805559999999,2599.2713750000003,2599.2713750000003,2599.2713750000003,2599.2713750000003
MX,MX_BCS_N50_VILLA_CONSTITUCION_BATSN,MX_BCS_N50_VILLA_CONSTITUCION_BATSN_STOR,BATS,Electricity,0,False,20.0,20.0,507.02731400000005,1196.750668,1196.750668,1196.750668,1196.750668
MX,MX_BCS_N52_LOS_CABOS_BATSN,MX_BCS_N52_LOS_CABOS_BATSN_STOR,BATS,Electricity,0,False,0.0,0.0,316.158526,3734.376767,3734.376767,3734.376767,3734.376767
MX,MX_BCS_N53_MULEGE_BATSN,MX_BCS_N53_MULEGE_BATSN_STOR,BATS,Electricity,0,False,0.0,0.0,0.0,7.204721,7.204721,7.204721,7.204721
